CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I26.99, Other pulmonary embolism without acute cor pulmonale
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.0, Primary pulmonary hypertension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.1, Kyphoscoliotic heart disease
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.20, Pulmonary hypertension, unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.21, Secondary pulmonary arterial hypertension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.22, Pulmonary hypertension due to left heart disease
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.23, Pulmonary hypertension due to lung diseases and hypoxia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.24, Chronic thromboembolic pulmonary hypertension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.29, Other secondary pulmonary hypertension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.81, Cor pulmonale (chronic)
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.82, Chronic pulmonary embolism
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.83, Eisenmenger's syndrome
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.89, Other specified pulmonary heart diseases
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I27.9, Pulmonary heart disease, unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.0, Chronic adhesive pericarditis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.1, Chronic constrictive pericarditis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.2, Hemopericardium, not elsewhere classified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.3, Pericardial effusion (noninflammatory)
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.4, Cardiac tamponade
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.8, Other specified diseases of pericardium
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I31.9, Disease of pericardium, unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I34.0, Nonrheumatic mitral (valve) insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I34.1, Nonrheumatic mitral (valve) prolapse
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I34.2, Nonrheumatic mitral (valve) stenosis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I35.0, Nonrheumatic aortic (valve) stenosis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I35.1, Nonrheumatic aortic (valve) insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I35.2, Nonrheumatic aortic (valve) stenosis with insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I36.0, Nonrheumatic tricuspid (valve) stenosis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I36.1, Nonrheumatic tricuspid (valve) insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I36.2, Nonrheumatic tricuspid (valve) stenosis with insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I37.0, Nonrheumatic pulmonary valve stenosis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I37.1, Nonrheumatic pulmonary valve insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I37.2, Nonrheumatic pulmonary valve stenosis with insufficiency
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I38, Endocarditis, valve unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I39, Endocarditis and heart valve disorders in diseases classified elsewhere
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.0, Dilated cardiomyopathy
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.1, Obstructive hypertrophic cardiomyopathy
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.2, Other hypertrophic cardiomyopathy
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.3, Endomyocardial (eosinophilic) disease
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.4, Endocardial fibroelastosis
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.5, Other restrictive cardiomyopathy
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.6, Alcoholic cardiomyopathy
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I42.7, Cardiomyopathy due to drug and external agent
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I43, Cardiomyopathy in diseases classified elsewhere
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.1, Left ventricular failure, unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.21, Acute systolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.22, Chronic systolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.23, Acute on chronic systolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.31, Acute diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.32, Chronic diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.33, Acute on chronic diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.41, Acute combined systolic (congestive) and diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.42, Chronic combined systolic (congestive) and diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.43, Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I50.9, Heart failure, unspecified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I51.0, Cardiac septal defect, acquired
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I51.1, Rupture of chordae tendineae, not elsewhere classified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I51.2, Rupture of papillary muscle, not elsewhere classified
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I51.81, Takotsubo syndrome
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.01, Dissection of thoracic aorta
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.02, Dissection of abdominal aorta
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.03, Dissection of thoracoabdominal aorta
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.1, Thoracic aortic aneurysm, ruptured
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.2, Thoracic aortic aneurysm, without rupture
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.3, Abdominal aortic aneurysm, ruptured
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.4, Abdominal aortic aneurysm, without rupture
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.5, Thoracoabdominal aortic aneurysm, ruptured
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I71.6, Thoracoabdominal aortic aneurysm, without rupture
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I79.0, Aneurysm of aorta in diseases classified elsewhere
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I95.2, Hypotension due to drugs
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I95.81, Postprocedural hypotension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I95.89, Other hypotension
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.0, Postcardiotomy syndrome
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.110, Postprocedural cardiac insufficiency following cardiac surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.111, Postprocedural cardiac insufficiency following other surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.120, Postprocedural cardiac arrest following cardiac surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.121, Postprocedural cardiac arrest following other surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.130, Postprocedural heart failure following cardiac surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, I97.131, Postprocedural heart failure following other surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J80, Acute respiratory distress syndrome
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J81.0, Acute pulmonary edema
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J95.1, Acute pulmonary insufficiency following thoracic surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J95.2, Acute pulmonary insufficiency following nonthoracic surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J95.3, Chronic pulmonary insufficiency following surgery
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J95.821, Acute postprocedural respiratory failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J95.822, Acute and chronic postprocedural respiratory failure
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.01, Acute respiratory failure with hypoxia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.02, Acute respiratory failure with hypercapnia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.21, Acute and chronic respiratory failure with hypoxia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.22, Acute and chronic respiratory failure with hypercapnia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.91, Respiratory failure, unspecified with hypoxia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, J96.92, Respiratory failure, unspecified with hypercapnia
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, K72.10, Chronic hepatic failure without coma
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, K72.11, Chronic hepatic failure with coma
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, K72.90, Hepatic failure, unspecified without coma
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, K72.91, Hepatic failure, unspecified with coma
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, K76.7, Hepatorenal syndrome
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, M32.11, Endocarditis in systemic lupus erythematosus
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, R57.0, Cardiogenic shock
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, R57.1, Hypovolemic shock
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, R65.21, Severe sepsis with septic shock
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.011A, Poisoning by aspirin, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.012A, Poisoning by aspirin, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.013A, Poisoning by aspirin, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.091A, Poisoning by salicylates, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.092A, Poisoning by salicylates, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.093A, Poisoning by salicylates, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T39.314A, Poisoning by propionic acid derivatives, undetermined, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.0X1A, Poisoning by opium, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.0X2A, Poisoning by opium, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.0X3A, Poisoning by opium, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.1X1A, Poisoning by heroin, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.1X2A, Poisoning by heroin, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.1X3A, Poisoning by heroin, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.2X1A, Poisoning by other opioids, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.2X2A, Poisoning by other opioids, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.2X3A, Poisoning by other opioids, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.3X1A, Poisoning by methadone, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.3X2A, Poisoning by methadone, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.3X3A, Poisoning by methadone, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.4X1A, Poisoning by other synthetic narcotics, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.4X2A, Poisoning by other synthetic narcotics, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.4X3A, Poisoning by other synthetic narcotics, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.4X4A, Poisoning by other synthetic narcotics, undetermined, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.601A, Poisoning by unspecified narcotics, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.602A, Poisoning by unspecified narcotics, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.603A, Poisoning by unspecified narcotics, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.604A, Poisoning by unspecified narcotics, undetermined, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.691A, Poisoning by other narcotics, accidental (unintentional), initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.692A, Poisoning by other narcotics, intentional self-harm, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.693A, Poisoning by other narcotics, assault, initial encounter
93503, Insert/place heart catheter<<<wut>>>INSERTION AND PLACEMENT OF FLOW DIRECTED CATHETER (EG, SWAN-GANZ) FOR MONITORING PURPOSES, T40.694A, Poisoning by other narcotics, undetermined, initial encounter
